id,question,url,division
198,How do I define infrastructure as code to deploy a displacement time-series server on cloud platforms?,['github.com/aria-jpl/displacement-ts-server-terraform'],Earth
199,"Where can I get tutorials, API specs, or workflows for ARIA tools and products?",['github.com/aria-jpl/docs'],Earth
200,What toolkit helps produce large scale InSAR time-series analyses across many radar scenes over years?,['github.com/aria-jpl/giant_time_series'],Earth
201,What are tools to extract small image patches (stamps) around detected deformation events from InSAR stacks for further analysis?,['github.com/aria-jpl/isce_stamps_processing'],Earth
202,"How can I forecast where landslides are likely to occur using satellite terrain, rainfall, and geologic indicators?",['github.com/aria-jpl/landslide-predictor'],Earth
203,Is there a lightweight model to predict landslide susceptibility using minimal inputs?,['github.com/aria-jpl/landslide-predictor-basic'],Earth
204,What alternative approach exists for landslide prediction with different or simpler features?,['github.com/aria-jpl/landslide-predictor-basic-alt'],Earth
205,How can I push geospatial tiles or layers into a Leaflet map dynamically from local or cloud sources?,['github.com/aria-jpl/leaflet-ingester'],Earth
206,What simple tool can generate water masks from optical or radar imagery without large computational overhead?,['github.com/aria-jpl/lightweight_water_mask'],Earth
207,How can I produce persistent scatterer or small baseline InSAR deformation maps using MintPy in a production environment?,['github.com/aria-jpl/mintpy-pge'],Earth
208,"What client library allows me to query ARIAs data services for assets, metadata, and deformation products?",['github.com/aria-jpl/mozart-client'],Earth
209,Is there a tool to assess vegetation cover or greenness using Sentinel-1 backscatter data over agricultural regions?,['github.com/aria-jpl/s1-gcov-plant'],Earth
210,What pipeline ingests Sentinel-1 scenes and performs quality checks before adding them to analysis workflows?,['github.com/aria-jpl/s1_qc_ingest'],Earth
211,Where can I find a script that tracks new Sentinel-data acquisitions from SciHub for areas of interest?,['github.com/aria-jpl/scihub_acquisition_scraper'],Earth
212,Is there a converter to turn Sentinel-1 or other SAR coherence products (slcp) into colormap files (COD) usable in GIS?,['github.com/aria-jpl/slcp2cod'],Earth
213,How can I transform sparse coherence (slcp) products into dense coherence (COR) representations for change detection?,['github.com/aria-jpl/slcp2cor'],Earth
214,What tool converts sparse coherence to phase metrics (PM) for interferometric or change-analysis workflows?,['github.com/aria-jpl/slcp2pm'],Earth
215,At what Earth time will both Odyssey and MRO be over Gale Crater within 10 minutes of each other?,"['github.com/NASA-AMMOS/MMTC', 'github.com/NASA-AMMOS/timecraftjs']",Planetary
216,"Which HiRISE or CTX images cover the floor of Gale Crater, and what are their associated pixel scale and emission angle metadata?","['github.com/NASA-PDS/atlas', 'github.com/NASA-PDS/pds4-jparser']",Planetary
217,How do changes in a planets gravity field over time inform our understanding of its interior structure and dynamics?,"['github.com/NASA-PDS/PyTrk234', 'github.com/NASA-Planetary-Science/PlanetProfile']",Planetary
218,"When was MRO observed by each DSN station during the 2018 global dust storm, and how did link geometry affect tracking quality?","['github.com/NASA-AMMOS/multi-mission-utilities-DSN', 'github.com/NASA-PDS/PyTrk234', 'github.com/nasa-jpl/MonteCop']",Planetary
219,"From multi-pass tracking over Valles Marineris, detect persistent gravity anomalies and relate them to plausible crustal thickness contrasts.","['github.com/NASA-PDS/PyTrk234', 'github.com/NASA-Planetary-Science/PlanetProfile']",Planetary
